code_station,libelle_station,code_departement,libelle_departement,code_commune,libelle_commune,code_region,libelle_region,code_bassin,libelle_bassin,code_cours_eau,libelle_cours_eau,code_campagne,code_reseau,libelle_reseau,code_ecoulement,libelle_ecoulement,longitude,latitude,date_campagne,nombre_modalite_ecoulement,code_type_campagne,libelle_type_campagne,uri_reseau,Annee
Y7010001,L'Ancino au pont de la RD 18,2B,Haute-Corse,2B081,CASTIGLIONE,94,Corse,12,Corse,Y7010540,Ruisseau de Bornalinco,97179,0000000134,Onde OFB,1a,Ecoulement visible acceptable,9.132306344,42.397879759,2023-04-24,5,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2023
Y7010001,L'Ancino au pont de la RD 18,2B,Haute-Corse,2B081,CASTIGLIONE,94,Corse,12,Corse,Y7010540,Ruisseau de Bornalinco,97145,0000000134,Onde OFB,1a,Ecoulement visible acceptable,9.132306344,42.397879759,2023-03-24,5,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2023
Y7010001,L'Ancino au pont de la RD 18,2B,Haute-Corse,2B081,CASTIGLIONE,94,Corse,12,Corse,Y7010540,Ruisseau de Bornalinco,97050,0000000134,Onde OFB,1,Ecoulement visible,9.132306344,42.397879759,2023-02-22,4,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2023
Y7010001,L'Ancino au pont de la RD 18,2B,Haute-Corse,2B081,CASTIGLIONE,94,Corse,12,Corse,Y7010540,Ruisseau de Bornalinco,97026,0000000134,Onde OFB,1,Ecoulement visible,9.132306344,42.397879759,2023-01-23,4,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2023
Y7010001,L'Ancino au pont de la RD 18,2B,Haute-Corse,2B081,CASTIGLIONE,94,Corse,12,Corse,Y7010540,Ruisseau de Bornalinco,97008,0000000134,Onde OFB,1,Ecoulement visible,9.132306344,42.397879759,2022-12-14,4,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2022
Y7010001,L'Ancino au pont de la RD 18,2B,Haute-Corse,2B081,CASTIGLIONE,94,Corse,12,Corse,Y7010540,Ruisseau de Bornalinco,96968,0000000134,Onde OFB,1,Ecoulement visible,9.132306344,42.397879759,2022-11-22,4,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2022
Y7010001,L'Ancino au pont de la RD 18,2B,Haute-Corse,2B081,CASTIGLIONE,94,Corse,12,Corse,Y7010540,Ruisseau de Bornalinco,96960,0000000134,Onde OFB,3,Assec,9.132306344,42.397879759,2022-11-11,4,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2022
Y7010001,L'Ancino au pont de la RD 18,2B,Haute-Corse,2B081,CASTIGLIONE,94,Corse,12,Corse,Y7010540,Ruisseau de Bornalinco,96880,0000000134,Onde OFB,1,Ecoulement visible,9.132306344,42.397879759,2022-10-24,4,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2022
Y7010001,L'Ancino au pont de la RD 18,2B,Haute-Corse,2B081,CASTIGLIONE,94,Corse,12,Corse,Y7010540,Ruisseau de Bornalinco,96861,0000000134,Onde OFB,1,Ecoulement visible,9.132306344,42.397879759,2022-10-10,4,2,complémentaire,http://id.eaufrance.fr/dc/0000000134,2022
Y7010001,L'Ancino au pont de la RD 18,2B,Haute-Corse,2B081,CASTIGLIONE,94,Corse,12,Corse,Y7010540,Ruisseau de Bornalinco,96833,0000000134,Onde OFB,3,Assec,9.132306344,42.397879759,2022-09-26,4,1,usuelle,http://id.eaufrance.fr/dc/0000000134,2022
